Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,SD_EN,SD_PCODE
0.62636697544,0.01637911795,Nsit Ubium,NG003021,Nsit Ubium,,,Akwa Ibom,NG003,Nigeria,NG,2016-11-29,2019-04-17,,Akwa Ibom North East,NG00301
1.44472710132,0.04551197446,Nsukka,NG014013,Nsukka,,,Enugu,NG014,Nigeria,NG,2016-11-29,2019-04-17,,Enugu North,NG01401
1.60277168574,0.06870445616,Numan,NG002016,Numan,,,Adamawa,NG002,Nigeria,NG,2016-11-29,2019-04-17,,Adamawa South,NG00203
0.36642044873,0.00568550095,Nwangele,NG017015,Nwangele,,,Imo,NG017,Nigeria,NG,2016-11-29,2019-04-17,,Imo West,NG01703
1.77917047375,0.12067239177,Obafemi-Owode,NG028015,Obafemi-Owode,,,Ogun,NG028,Nigeria,NG,2016-11-29,2019-04-17,,Ogun Central,NG02801
1.42014018836,0.07672995978,Obanliku,NG009013,Obanliku,,,Cross River,NG009,Nigeria,NG,2016-11-29,2019-04-17,,Cross River North,NG00902
0.89967696449,0.04067489937,Obi,NG007014,Obi,,,Benue,NG007,Nigeria,NG,2016-11-29,2019-04-17,,Benue South,NG00703
1.50056748672,0.08343605302,Obi,NG026011,Obi,,,Nasarawa,NG026,Nigeria,NG,2016-11-29,2019-04-17,,Nassarawa South,NG02601
0.87727766707,0.03294396468,Obi Ngwa,NG001009,Obi Ngwa,,,Abia,NG001,Nigeria,NG,2016-11-29,2019-04-17,,Abia South,NG00103
0.81731069589,0.02100477368,Obia/Akpor,NG033015,Obia/Akpor,,,Rivers,NG033,Nigeria,NG,2016-11-29,2019-04-17,,Rivers East,NG03301
0.89686058218,0.04165115322,Obokun,NG030024,Obokun,,,Osun,NG030,Nigeria,NG,2016-11-29,2019-04-17,,Osun East,NG03002
0.63547710163,0.01915745504,Obot Akara,NG003022,Obot Akara,,,Akwa Ibom,NG003,Nigeria,NG,2016-11-29,2019-04-17,,Akwa Ibom North West,NG00302
0.37899684612,0.00705353962,Obowo,NG017016,Obowo,,,Imo,NG017,Nigeria,NG,2016-11-29,2019-04-17,,Imo North,NG01702
1.79429328019,0.09349137504,Obubra,NG009014,Obubra,,,Cross River,NG009,Nigeria,NG,2016-11-29,2019-04-17,,Cross River Central,NG00901
